FrameCounter,Acc,Gyr,Euler
251,0.9880490878493842,25.176598606321296,93.1274563153792
252,1.0252048575772552,24.713890964840296,93.36346988356216
253,1.0626617523934887,24.329944840306396,93.59170314762557
254,1.101872043387979,22.46777194660833,93.80140875721301
255,1.1565854918681975,20.123961999523495,93.9881186876578
256,1.2484494383033702,18.361404370007495,94.10708801883891
257,1.3573098393513545,16.244647646526268,94.19368059250034
258,1.4735362228326794,18.243742089484456,94.26905049561009
259,1.5913302611337472,27.04914025411002,94.32481932565734
260,1.6737054699080123,41.664605973007106,94.35039397288335
261,1.6365384199584194,53.83759839181711,94.3927566996454
262,1.4040263530290307,55.946466233352474,94.46699266895419
263,1.1556353231015395,49.99152947633096,94.6132793656993
264,0.9988423298999698,44.30214108621881,94.84965629611229
265,0.9684064229444165,35.73898722792479,95.0678092088387
266,0.9736801322816442,21.850517874122943,95.26820529912945
267,0.9580944629836871,21.360424444727,95.41774678804455
268,0.9307405653564264,31.553135714127784,95.50784050257396
269,0.8892704875345858,43.188645196533685,95.51417267169224
270,0.8579918414530525,52.5636115944827,95.43986723708802
271,0.8531137087164877,57.56172295686468,95.33036659152938
272,0.8944573774082251,58.8596604994899,95.15174262055683
273,0.9542667341996157,55.988111884133914,94.93314215919017
274,1.0197852715155284,50.01368727912165,94.67094697449755
275,1.0334103734722233,41.981207803609,94.41290085683835
276,1.0151586082972452,31.756659105334165,94.23024824906959
277,0.9826021575388484,20.6237821875238,94.09997652205541
278,0.9544789154297753,10.877151532590949,94.01603504110668
279,0.9583574489719375,8.848445481479446,93.98820513419916
280,0.9859097321763286,15.360831942039228,93.97943852617145
281,1.023702105106754,21.30818399942128,94.00412670732314
282,1.0506921528211774,24.533911696637105,94.01970061303513
283,1.0593375288358287,25.094317652105886,93.99167201157216
284,1.063238919528438,24.43314882829952,93.91566057279569
285,1.0657978232291527,24.392269553644837,93.79162331397306
286,1.0673916806870851,25.724282863554784,93.60659569551476
287,1.0551687068900404,28.0697381236319,93.37187154493321
288,1.0286554330775686,30.209288655837863,93.10676608193371
289,0.9952190713606729,33.117814974575566,92.8113823984943
290,0.9559131759736341,35.30988195537885,92.50112636645649
291,0.9232079938995329,35.72837638724459,92.19813470858129
292,0.9051370062040331,34.70461044623544,91.9137246710622
293,0.9052546603028343,34.53192721161316,91.64393430291767
294,0.9096422373658778,36.14370565888695,91.37239976036722
295,0.9178638243225408,38.46545756005805,91.0937253569717
296,0.9218074636278447,41.210021575726245,90.79412550120936
297,0.9169803705641687,41.80509040241283,90.49231775212866
298,0.9065175122412142,40.493581175097425,90.18659535932679
299,0.9179095816037656,39.60859938658985,89.85569851214106
300,0.9191414472212642,33.760647674393255,89.5748460514762
